V,SFO,5,-130,-144,-1.5(+110)
H,ARI,6,8u20,8.5o20,+1.5(-130)
V,CUB,3,-125,-126,-1.5(+135)
H,STL,4,7.5u20,7o20,+1.5(-155)
V,NYY,3,-120,-110,-1.5(+151)
H,TAM,7,7u20,7,+1.5(-175)
V,MIA,2,7.5u20,8.5o14,+1.5(-120)
H,WAS,4,-210,-215,-1.5(+100)
V,ATL,0,6.5,7o25,+1.5(-140)
H,NYM,6,-155,-183,-1.5(+120)
V,COL,7,8.5,-125,-1.5(+130)
H,MIL,5,-119,8.5o15,+1.5(-150)
V,SDG,3,6o20,6.5o20,+1.5(+132)
H,LOS,14,-360,-360,-1.5(-152)
V,PHI,4,9o20,8.5o15,+1.5(-205)
H,CIN,3,-115,-111,-1.5(+172)
V,SEA,0,8,8.5o20,+1.5(-155)
H,HOU,3,-125,-156,-1.5(+135)
V,TOR,2,-110,8.5o20,+1.5(-180)
H,BAL,3,8.5,-131,-1.5(+155)
V,KAN,1,8o20,-107,-1.5(+150)
H,MIN,7,-115,8u18,+1.5(-174)
V,CLE,8,8o20,-109,-1.5(+140)
H,TEX,5,-125,8,+1.5(-160)
V,LAA,2,-115,-100,+1.5(-215)
H,OAK,4,8,8o15,-1.5(+180)
V,PIT,3,9,8.5o15,+1.5(-155)
H,BOS,5,-165,-145,-1.5(+135)
V,COL,6,8.5u15,-108,-1.5(+151)
H,MIL,5,-115,8,+1.5(-175)
V,CUB,2,-150,-145,-1.5(+115)
H,STL,1,7.5u20,7,+1.5(-135)
V,SFO,8,-150,-134,-1.5(+120)
H,ARI,4,9,9o15,+1.5(-140)
V,SDG,4,7.5u20,7.5u20,+1.5(-105)
H,LOS,0,-210,-233,-1.5(-115)
V,NYY,5,7.5,7.5o20,+1.5(-215)
H,TAM,0,-120,-114,-1.5(+180)
V,CLE,4,-125,-168,-1.5(-110)
H,TEX,3,9u20,9o25,+1.5(-110)
V,SEA,1,8.5u15,8.5o15,+1.5(-145)
H,HOU,2,-125,-160,-1.5(+125)
V,LAA,7,7.5,-117,-1.5(+135)
H,OAK,6,-120,7.5o20,+1.5(-155)
V,DET,6,-125,-125,-1.5(+125)
H,CWS,3,7.5u25,7.5u25,+1.5(-145)
V,MIA,4,8o15,8.5o28,+1.5(-150)
H,WAS,6,-181,-160,-1.5(+130)
V,PHI,0,9u15,-105,+1.5(-220)
H,CIN,2,-111,8.5,-1.5(+184)
V,ATL,3,7u20,7o20,+1.5(-125)
H,NYM,1,-200,-205,-1.5(+105)
V,COL,1,-114,-128,-1.5(+130)
H,MIL,6,9o20,9,+1.5(-150)
V,SFO,6,-126,-101,+1.5(-205)
H,ARI,8,9.5u20,9.5,-1.5(+172)
V,SDG,1,7o25,7.5,+1.5(-110)
H,LOS,3,-260,-245,-1.5(-110)
V,KAN,1,8.5,8.5u19,+1.5(-210)
H,MIN,9,-111,-117,-1.5(+176)
V,NYY,1,7.5,-135,-1.5(+130)
H,TAM,4,-115,7.5u20,+1.5(-150)
V,TOR,1,-111,8.5o19,+1.5(-205)
H,BAL,3,9u20,-117,-1.5(+172)
V,CLE,9,8.5o20,-115,-1.5(+144)
H,TEX,6,-118,8o20,+1.5(-165)
V,SEA,3,-120,7.5o15,+1.5(-215)
H,HOU,5,9u15,-107,-1.5(+180)
V,LAA,5,-118,-108,-1.5(+140)
H,OAK,0,7.5o15,8.5u25,+1.5(-160)
V,PIT,0,8.5u25,7.5o15,+1.5(-145)
H,BOS,3,-201,-165,-1.5(+125)
V,PHI,4,-104,9u25,+1.5(-200)
H,CIN,7,8.5o20,-127,-1.5(+170)
V,COL,2,-115,-107,+1.5(-220)
H,MIL,1,9.5u20,9.5u20,-1.5(+184)
V,SDG,2,8,8.5o20,+1.5(+105)
H,LOS,10,-225,-250,-1.5(-125)
V,MIA,4,8.5u20,9,+1.5(-140)
H,WAS,3,-165,-175,-1.5(+120)
V,ATL,2,7.5u20,7o25,+1.5(-175)
H,NYM,6,-175,-140,-1.5(+151)
V,SFO,3,-120,9.5u25,+1.5(-220)
H,ARI,9,9.5,-110,-1.5(+184)
V,KAN,3,8.5,8o15,+1.5(-230)
H,MIN,5,-115,-107,-1.5(+192)
V,DET,2,-129,-113,-1.5(+140)
H,CWS,11,8.5o15,9u15,+1.5(-160)
V,LAA,1,-104,8o15,+1.5(-210)
H,OAK,5,8.5u20,-109,-1.5(+176)
V,TOR,5,-130,-139,-1.5(+120)
H,TAM,2,7.5,8u15,+1.5(-140)
V,SEA,4,8.5,9u20,+1.5(-150)
H,HOU,2,-150,-157,-1.5(+130)
V,CUB,6,-125,-126,-1.5(+129)
H,STL,4,7.5o20,7.5o15,+1.5(-148)
V,ATL,4,8u15,8u15,+1.5(-175)
H,PIT,5,-140,-143,-1.5(+151)
V,WAS,7,-165,-175,-1.5(-110)
H,PHI,6,7,7o25,+1.5(-110)
V,LOS,1,11.5u20,-154,-1.5(-105)
H,COL,2,-105,12.5o12,+1.5(-115)
V,SFO,6,-130,8.5o25,+1.5(-215)
H,SDG,7,8,-107,-1.5(+180)
V,MIA,7,7.5u15,-114,-1.5(+148)
H,NYM,2,-145,7.5u25,+1.5(-170)
V,CUB,1,-140,-182,-1.5(-115)
H,MIL,2,9,9o20,+1.5(-105)
V,CIN,2,8,8,+1.5(-145)
H,STL,0,-165,-167,-1.5(+125)
V,BOS,5,8o20,8o20,+1.5(-185)
H,DET,6,-120,-133,-1.5(+160)
V,NYY,5,9,-106,+1.5(-220)
H,BAL,6,-120,8.5u25,-1.5(+184)
V,TOR,8,-125,-114,-1.5(+144)
H,TAM,10,8u20,7.5o18,+1.5(-165)
V,OAK,5,9.5,10o20,+1.5(-150)
H,TEX,10,-165,-157,-1.5(+130)
V,MIN,3,8.5o20,8.5u22,+1.5(-205)
H,CWS,1,-120,-111,-1.5(+172)
V,KAN,5,8.5,9u20,+1.5(-155)
H,HOU,1,-160,-145,-1.5(+135)
V,SEA,1,8.5u15,8.5u15,+1.5(-180)
H,LAA,5,-120,-130,-1.5(+155)
V,CLE,3,-140,-133,-1.5(+110)
H,ARI,7,9.5,10o15,+1.5(-130)
V,CIN,4,8o20,8.5u15,+1.5(-125)
H,STL,10,-180,-205,-1.5(+105)
V,WAS,3,-115,8.5,+1.5(-210)
H,PHI,17,8.5o20,-110,-1.5(+176)
V,ATL,4,7.5o20,8.5,+1.5(-160)
H,PIT,6,-140,-152,-1.5(+140)
V,MIA,8,7.5o15,8o15,+1.5(-200)
H,NYM,1,-130,-119,-1.5(+170)
V,CUB,11,-200,-240,-1.5(-145)
H,MIL,6,8.5,9u15,+1.5(+125)
V,LOS,2,-200,-215,-1.5(-133)
H,COL,4,9u20,9o14,+1.5(+113)
V,SFO,1,-220,-215,-1.5(-135)
H,SDG,2,7o20,7.5o20,+1.5(+115)
V,MIN,2,8.5o20,9u20,+1.5(-200)
H,CWS,6,-120,-118,-1.5(+170)
V,BOS,1,9,108,+1.5(-200)
H,DET,4,-125,8.5,-1.5(+170)
V,KAN,7,7.5,7.5o15,+1.5(-140)
H,HOU,3,-160,-173,-1.5(+120)
V,NYY,4,8u20,7.5o15,+1.5(-210)
H,BAL,5,-120,-111,-1.5(+176)
V,OAK,6,8.5o20,9u20,+1.5(-130)
H,TEX,1,-175,-170,-1.5(+110)
V,TOR,2,-104,7.5o18,+1.5(-210)
H,TAM,3,7o20,-120,-1.5(+176)
V,SEA,4,-130,-126,-1.5(+130)
H,LAA,5,8,8u15,+1.5(-150)
V,CLE,2,9,-110,-1.5(+142)
H,ARI,11,-113,9.5u15,+1.5(-162)
V,ATL,5,7o20,7.5u15,+1.5(-195)
H,PIT,6,-140,-131,-1.5(+166)
V,WAS,3,-165,-165,-1.5(-110)
H,PHI,4,7o25,8o20,+1.5(-110)
V,CUB,7,-200,-176,-1.5(-110)
H,MIL,4,8,8o25,+1.5(-110)
V,CIN,8,8u20,8o20,+1.5(-130)
H,STL,0,-210,-181,-1.5(+110)
V,LOS,10,-115,-116,-1.5(+130)
H,COL,6,11o20,10u15,+1.5(-150)
V,SFO,5,-155,-163,-1.5(+100)
H,SDG,3,7.5u20,7o25,+1.5(-120)
V,MIA,2,6.5o20,7u15,+1.5(-135)
H,NYM,5,-200,-190,-1.5(+115)
V,TOR,2,-115,-116,-1.5(+144)
H,TAM,7,7.5o15,8,+1.5(-165)
V,BOS,7,-140,8.5,+1.5(-215)
H,DET,5,8.5,-112,-1.5(+180)
V,NYY,7,-104,8.5o20,+1.5(-185)
H,BAL,3,8.5o15,-128,-1.5(+160)
V,OAK,1,9.5u20,-125,-1.5(+130)
H,TEX,8,-125,10u20,+1.5(-150)
V,MIN,4,8,8o15,+1.5(-180)
H,CWS,1,-120,-135,-1.5(+155)
V,KAN,4,8o20,8.5u20,+1.5(-119)
H,HOU,5,-210,-200,-1.5(-101)
V,SEA,9,8o20,8.5u20,+1.5(-190)
H,LAA,10,-120,-128,-1.5(+163)
V,CLE,2,-160,-172,-1.5(-115)
H,ARI,3,9.5u20,9.5u20,+1.5(-105)
V,ARI,1,8.5u20,8u20,+1.5(-200)
H,SFO,4,-140,-128,-1.5(+170)
V,NYM,4,-150,-147,-1.5(+113)
H,PHI,3,7.5,8u15,+1.5(-132)
V,STL,6,8o15,8.5,+1.5(-200)
H,WAS,14,-135,-120,-1.5(+170)
V,CIN,7,8o20,8.5o20,+1.5(-175)
H,PIT,1,-145,-143,-1.5(+151)
V,LOS,2,9.5,7o25,+1.5(-155)
H,CUB,3,-180,-151,-1.5(+135)
V,SDG,5,11o20,11u25,+1.5(-119)
H,COL,3,-175,-185,-1.5(-101)
V,BOS,1,-105,-110,-1.5(+163)
H,DET,2,7.5u20,7.5,+1.5(-190)
V,OAK,2,8.5u20,8.5o20,+1.5(-205)
H,KAN,0,-135,-117,-1.5(+172)
V,HOU,0,8u20,7.5u25,+1.5(-180)
H,SEA,6,-130,-138,-1.5(+155)
V,TAM,1,8o20,8o20,+1.5(-180)
H,NYY,8,-135,-136,-1.5(+155)
V,ATL,4,8.5u20,8.5u25,+1.5(-180)
H,MIA,8,-135,-129,-1.5(+155)
V,STL,3,8.5u20,8.5o15,+1.5(-180)
H,WAS,8,-140,-140,-1.5(+155)
V,NYM,14,-140,-146,-1.5(+105)
H,PHI,4,8,9o15,+1.5(-125)
V,CIN,6,8o20,8.5o15,+1.5(-130)
H,PIT,2,-175,-183,-1.5(+110)
V,SDG,2,11.5o20,12u15,+1.5(-120)
H,COL,3,-175,-180,-1.5(+100)
V,ARI,4,8u20,7.5o25,+1.5(-215)
H,SFO,3,-135,-112,-1.5(+180)
V,MIN,1,8.5,9.5u25,+1.5(-175)
H,DET,2,-135,-131,-1.5(+151)
V,CWS,1,8.5u20,8.5u24,+1.5(+120)
H,CLE,2,-210,-295,-1.5(-140)
V,BAL,1,9.5u20,9,+1.5(-208)
H,BOS,8,-135,-115,-1.5(+175)
V,TEX,5,-104,8u20,+1.5(-190)
H,LAA,6,8o20,-114,-1.5(+163)
V,HOU,7,-120,-128,-1.5(+130)
H,SEA,5,8,8.5u12,+1.5(-150)
V,MIL,4,9u20,8o15,+1.5(-140)
H,TOR,3,-175,-166,-1.5(+120)
V,SDG,6,12o15,12u20,+1.5(-140)
H,COL,0,-166,-153,-1.5(+120)
V,CIN,9,8o15,8o25,+1.5(-176)
H,PIT,2,-151,-147,-1.5(+153)
V,NYM,5,8.5u15,8o19,+1.5(-220)
H,PHI,4,-111,-118,-1.5(+184)
V,STL,6,7.5o15,8u15,+1.5(-143)
H,WAS,1,-201,-180,-1.5(+122)
V,ATL,5,8.5u15,8u12,+1.5(-215)
H,MIA,4,-126,-109,-1.5(+180)
V,LOS,2,7.5,7u25,+1.5(-195)
H,CUB,0,-141,-126,-1.5(+166)
V,ARI,2,8,8.5,+1.5(-203)
H,SFO,6,-131,-111,-1.5(+171)
V,MIN,3,8.5o20,8.5u15,+1.5(-180)
H,DET,5,-156,-137,-1.5(+155)
V,CWS,2,8.5u20,8,+1.5(+101)
H,CLE,1,-241,-260,-1.5(-121)
V,TAM,4,8.5o20,8o18,+1.5(-180)
H,NYY,8,-126,-125,-1.5(+155)
V,BAL,12,9.5o15,9.5o12,+1.5(-160)
H,BOS,5,-151,-137,-1.5(+140)
V,OAK,8,8.5u20,8.5o20,+1.5(-205)
H,KAN,3,-121,-116,-1.5(+172)
V,TEX,8,8.5o20,8.5u20,+1.5(-175)
H,LAA,3,-136,-137,-1.5(+151)
V,HOU,10,-121,-123,-1.5(+135)
H,SEA,5,8.5u15,8.5u15,+1.5(-155)
V,MIL,2,8.5o20,8.5o15,+1.5(-110)
H,TOR,0,-191,-218,-1.5(-110)
V,NYM,9,8,8u15,+1.5(-181)
H,MIA,8,-130,-128,-1.5(+156)
V,LOS,0,7.5o15,7,+1.5(-205)
H,CUB,4,-140,-121,-1.5(+172)
V,MIL,5,9,-114,-1.5(+142)
H,CIN,1,-115,9u12,+1.5(-162)
V,COL,3,6.5o15,6.5o15,+1.5(-156)
H,SFO,1,-180,-172,-1.5(+135)
V,CWS,10,8.5,8o11,+1.5(-119)
H,CLE,4,-200,-205,-1.5(-101)
V,MIN,11,8.5u20,8.5u20,+1.5(-182)
H,DET,5,-150,-128,-1.5(+157)
V,TEX,8,-125,-129,-1.5(+128)
H,LAA,3,8u20,8u13,+1.5(-148)
V,TAM,2,8.5,8,+1.5(-170)
H,NYY,3,-130,-142,-1.5(+148)
V,BAL,2,8.5o20,8.5u20,+1.5(-205)
H,TOR,1,-115,-119,-1.5(+172)
V,OAK,1,8.5u20,9u15,+1.5(-180)
H,KAN,3,-130,-138,-1.5(+155)
V,PIT,3,9.5u20,9.5,+1.5(-133)
H,BOS,4,-150,-170,-1.5(+113)
V,PIT,4,7o15,7o20,+1.5(-151)
H,CUB,2,-175,-160,-1.5(+131)
V,NYM,2,-140,-161,-1.5(+104)
H,MIA,3,7u20,7.5u15,+1.5(-124)
V,PHI,2,8,7.5u15,+1.5(-140)
H,WAS,3,-210,-182,-1.5(+120)
V,SDG,2,7.5,8u12,+1.5(-173)
H,ATL,5,-155,-141,-1.5(+150)
V,MIL,10,9o20,9u15,+1.5(-200)
H,CIN,4,-140,-113,-1.5(+170)
V,ARI,1,6o20,6o20,+1.5(-115)
H,LOS,7,-220,-255,-1.5(-105)
V,COL,2,7o25,6.5o15,+1.5(-190)
H,SFO,8,-160,-142,-1.5(+163)
V,DET,7,8.5o15,8.5u15,+1.5(-160)
H,CLE,6,-130,-156,-1.5(+140)
V,BAL,6,8.5o25,8,+1.5(-168)
H,TOR,4,-155,-136,-1.5(+146)
V,TAM,10,8.5o20,8o20,+1.5(-195)
H,BOS,5,-145,-127,-1.5(+166)
V,CWS,2,9o20,9.5u20,+1.5(-145)
H,MIN,1,-135,-161,-1.5(+125)
V,LAA,1,8.5,9o15,+1.5(-175)
H,KAN,7,-155,-131,-1.5(+151)
V,HOU,7,-135,-118,-1.5(+144)
H,OAK,2,7.5u15,7.5u30,+1.5(-165)
V,TEX,1,8,7.5o20,+1.5(-180)
H,SEA,2,-145,-135,-1.5(+155)
V,STL,3,8,7.5,+1.5(-205)
H,NYY,4,-130,-127,-1.5(+172)
V,NYM,4,-140,-121,-1.5(+135)
H,MIA,5,7.5o15,7.5,+1.5(-155)
V,PHI,4,8.5u20,8,+1.5(-160)
H,WAS,2,-160,-155,-1.5(+140)
V,MIL,5,8.5o15,8.5o15,+1.5(-200)
H,CIN,7,-140,-111,-1.5(+170)
V,PIT,8,9.5o20,10.5,+1.5(-101)
H,CUB,7,-260,-256,-1.5(-119)
V,COL,5,8,7.5o20,+1.5(-190)
H,SFO,0,-125,-130,-1.5(+163)
V,SDG,2,8,-105,-1.5(+160)
H,ATL,4,-125,8.5o15,+1.5(-185)
V,ARI,4,8u20,7.5o15,+1.5(-135)
H,LOS,8,-170,-180,-1.5(+115)
V,DET,6,7.5u20,8,+1.5(-145)
H,CLE,13,-145,-165,-1.5(+125)
V,BAL,1,8.5o20,9o20,+1.5(-181)
H,TOR,2,-145,-122,-1.5(+156)
V,LAA,2,-104,-115,-1.5(+142)
H,KAN,3,8.5o20,9,+1.5(-162)
V,CWS,0,8,7o15,+1.5(-200)
H,MIN,6,-140,-113,-1.5(+170)
V,TAM,1,7.5o20,8.5o12,+1.5(-108)
H,BOS,2,-200,-220,-1.5(-112)
V,HOU,10,-145,-155,-1.5(+100)
H,OAK,6,8u15,7.5u11,+1.5(-120)
V,TEX,0,8,7.5o20,+1.5(-135)
H,SEA,5,-170,-180,-1.5(+115)
V,STL,2,8o20,-142,-1.5(+125)
H,NYY,3,-120,8o21,+1.5(-145)
V,NYM,2,-135,-109,-1.5(+144)
H,MIA,4,8u20,8.5u15,+1.5(-165)
V,PHI,4,8o20,9o15,+1.5(-140)
H,WAS,6,-165,-180,-1.5(+120)
V,MIL,4,9,9u15,+1.5(-210)
H,CIN,2,-108,-115,-1.5(+176)
V,SDG,2,8,8o20,+1.5(-180)
H,ATL,9,-135,-128,-1.5(+155)
V,PIT,6,8.5u20,8o20,+1.5(-152)
H,CUB,1,-175,-163,-1.5(+132)
V,COL,4,7.5,7.5u15,+1.5(-185)
