Boston,99,214.5,216,166
Cleveland,102,4,4.5,-195
Houston,122,232,231.5,364
GoldenState,121,9,9,-470
Brooklyn,131,212,216.5,135
Indiana,140,3.5,3,-155
Philadelphia,115,215.5,217.5,240
Washington,120,6.5,6.5,-300
Miami,109,3,3.5,-170
Orlando,116,207,205.5,145
Charlotte,90,204,202,125
Detroit,102,3,2.5,-145
Milwaukee,108,208.5,203,105
Boston,100,6,1.5,-125
NewOrleans,91,205,204.5,110
Memphis,103,3,2,-130
Atlanta,117,199.5,199,190
Dallas,111,6.5,5.5,-240
Denver,96,209,205,120
Utah,106,2,2.5,-140
Minnesota,99,207,203.5,105
SanAntonio,107,3,1.5,-125
Houston,105,9,7,-310
Sacramento,100,218.5,216.5,250
Portland,124,1,2.5,-140
Phoenix,76,220,219.5,120
Chicago,101,206,206.5,800
Toronto,117,12,14,-1400
NewYork,84,213,215.5,650
OklahomaCity,105,11.5,12.5,-1000
LAClippers,108,4.5,6.5,-260
LALakers,92,218.5,219,210
Boston,102,1,217,130
Philadelphia,92,216.5,3,-150
Atlanta,91,202.5,205.5,160
Charlotte,109,6,4.5,-190
Detroit,111,210.5,211.5,230
Washington,115,6.5,6.5,-280
Cleveland,116,1.5,209.5,-105
Milwaukee,97,210,1,-115
Portland,114,3.5,6,-230
Indiana,96,219,218.5,185
Orlando,121,220,226,110
Brooklyn,126,1,2,-130
Utah,97,200,197,170
Minnesota,100,5.5,5,-200
Sacramento,93,203,201.5,200
Dallas,88,5.5,6,-250
GoldenState,128,6.5,9,-470
NewOrleans,120,222.5,221,360
LALakers,132,222,220.5,140
Phoenix,130,2.5,3.5,-160
Philadelphia,94,216,219,292
Toronto,128,7.5,8.5,-365
Orlando,114,212.5,216,588
Cleveland,93,11,11.5,-850
Dallas,91,214.5,216,588
Houston,107,10.5,11.5,-850
Detroit,111,1.5,1,-115
NewYork,107,206.5,204.5,-105
Indiana,108,211,213.5,334
Miami,112,8.5,9.5,-425
SanAntonio,87,7.5,10,-600
Chicago,77,202,200.5,447
GoldenState,101,7.5,8.5,-375
Memphis,111,213,212.5,299
Portland,110,213.5,208.5,130
Milwaukee,113,4.5,3,-150
Sacramento,79,216,212.5,588
Denver,96,11,12.5,-850
OklahomaCity,87,4,4,-180
Utah,96,200.5,200,155
Phoenix,88,220,220,857
LAClippers,130,11.5,13.5,-1450
Atlanta,104,219.5,220,-105
Brooklyn,116,2.5,1,-115
Minnesota,115,211.5,212,150
OklahomaCity,113,4.5,4,-180
NewOrleans,119,4,5.5,-210
LALakers,112,217,222.5,175
Philadelphia,97,213,213.5,140
Detroit,86,4,3,-160
Atlanta,93,206,205,500
Miami,104,11.5,10.5,-700
Memphis,98,210.5,213.5,280
Houston,90,8,8,-360
Charlotte,94,205,203.5,210
Milwaukee,103,6,6.5,-260
GoldenState,133,10.5,13.5,-1400
Dallas,103,214,217.5,800
Toronto,97,206,202,125
SanAntonio,101,2.5,2.5,-145
Washington,109,223,224,170
Denver,104,2.5,5,-200
Sacramento,115,211,2.5,-140
Phoenix,117,2,206.5,120
Brooklyn,121,229,228.5,170
Orlando,125,3.5,5,-200
Chicago,112,207.5,205.5,1100
Cleveland,119,14,15,-2500
NewYork,89,210,208,240
Boston,110,9,7,-300
Indiana,130,217,218,500
Minnesota,107,11,10.5,-700
NewOrleans,93,219,216.5,170
Portland,103,4.5,5,-200
Utah,84,200.5,196,170
LAClippers,102,3,5,-200
Minnesota,101,208,209,120
Detroit,122,pk,2.5,-140
Houston,105,3,3,-160
Philadelphia,104,223,221,140
Denver,93,212,2.5,-140
Charlotte,110,pk,211.5,120
Cleveland,107,7,8,-340
Brooklyn,112,227,223.5,270
SanAntonio,117,3,3,-150
Miami,100,195,196.5,130
Indiana,96,218,218,650
OklahomaCity,114,14,13.5,-1000
Memphis,94,4,3,-160
Dallas,103,196,197,140
Utah,88,7,7.5,-330
Phoenix,97,203,205,260
Washington,99,5.5,5.5,-220
LALakers,102,230,229,180
Toronto,112,224,230,700
GoldenState,117,11.5,12,-1100
Dallas,91,196.5,194.5,270
Memphis,96,9,8,-340
Boston,96,207,206.5,160
Milwaukee,89,3.5,4.5,-190
Atlanta,86,199.5,200,110
Chicago,91,2.5,2,-130
LAClippers,104,210.5,216,120
Portland,103,1,2.5,-140
NewOrleans,114,204,204.5,100
Sacramento,106,1,1,-120
SanAntonio,87,5.5,5.5,-240
Orlando,114,204.5,207,190
Houston,109,3,2.5,-140
Charlotte,93,213,214.5,120
Brooklyn,86,219.5,222.5,115
NewYork,107,1,2,-135
Denver,105,8.5,7,-280
Atlanta,100,206,210.5,230
OklahomaCity,116,2.5,2,-125
Minnesota,119,214.5,218,105
Toronto,101,6.5,6,-240
LALakers,92,224,221,190
Washington,117,231.5,231,600
GoldenState,120,10.5,12,-900
Cleveland,101,3.5,2,-135
NewOrleans,123,215,220.5,115
Houston,89,206,202,115
Memphis,103,1,2,-135
Boston,96,1.5,1,-115
Miami,90,205,204.5,-105
OklahomaCity,101,8.5,8.5,-400
Chicago,69,204.5,203.5,300
Philadelphia,112,1,205,-110
Dallas,110,208,pk,-110
LALakers,81,204.5,202,425
Utah,96,9,10.5,-600
Phoenix,107,217,218,600
Portland,114,11,12,-900
Detroit,95,210,206,290
LAClippers,87,6,8,-380
Milwaukee,117,5.5,6,-240
Atlanta,106,203,199,199
SanAntonio,94,6.5,6.5,-250
Indiana,97,204,209,207
Orlando,113,210,210.5,148
Charlotte,120,4,4,-170
Washington,110,6,8,-315
Sacramento,83,211,208,256
Denver,124,4.5,5.5,-215
Brooklyn,111,223.5,223,180
NewYork,114,209,212.5,451
Cleveland,95,10,10.5,-606
Detroit,115,222,221,912
GoldenState,107,13,14.5,-1600
SanAntonio,94,196,193.5,151
Boston,108,3,3.5,-175
Denver,110,3.5,5,-195
NewYork,116,207,211,166
Minnesota,125,1.5,3,-149
Miami,122,216.5,216.5,128
Charlotte,104,192.5,195,180
Memphis,99,7,5.5,-215
Orlando,115,224,222.5,263
NewOrleans,99,7.5,7.5,-325
Philadelphia,115,218,215,237
Houston,107,6,7,-290
Dallas,89,190,190.5,292
Utah,104,7.5,8.5,-365
Toronto,99,215.5,211.5,150
Portland,85,2,4,-174
GoldenState,141,3.5,6,-275
LAClippers,113,221,223.5,226
Sacramento,83,209,206,207
Indiana,101,6,5.5,-250
Phoenix,122,231,229.5,163
Brooklyn,114,3,4.5,-190
OklahomaCity,110,1,2.5,-140
Milwaukee,91,210,210.5,120
Detroit,93,5,3,-152
LALakers,113,209,207.5,132
Phoenix,122,225.5,228,525
Washington,116,14,11,-750
Milwaukee,121,203,203,145
Charlotte,126,2,4,-170
Atlanta,109,210,209,260
Philadelphia,119,8.5,7.5,-330
Indiana,124,218.5,217.5,400
Cleveland,107,11,10.5,-550
Sacramento,86,198,195.5,600
Boston,113,12.5,11.5,-900
Chicago,91,202,196,375
Miami,97,8,9.5,-500
Orlando,101,205,205.5,125
Memphis,99,4.5,2.5,-145
Houston,119,4.5,6,-250
NewYork,97,212,213.5,200
Minnesota,104,224,224,115
NewOrleans,98,1,2,-135
Toronto,111,213.5,217,105
Denver,129,1,1.5,-125
Portland,103,197,191.5,145
Utah,112,3,3.5,-170
Dallas,98,204.5,207.5,425
LAClippers,119,9,10.5,-600
GoldenState,112,6.5,8.5,-350
SanAntonio,92,219,220,275
LALakers,110,210.5,212,190
Portland,113,8.5,6,-240
Cleveland,130,220,224.5,135
Washington,122,3.5,3.5,-155
Chicago,105,207,204.5,275
Orlando,83,8,7.5,-350
Milwaukee,96,205,204,100
Detroit,105,3,1.5,-120
Indiana,110,220,217,170
Philadelphia,121,5.5,5,-200
Houston,119,8,9,-420
Atlanta,104,211.5,214,320
Phoenix,107,222.5,221,160
NewYork,120,3.5,4.5,-190
Charlotte,101,198,200.5,165
SanAntonio,108,3.5,4.5,-195
NewOrleans,99,4.5,5,-200
Dallas,94,213,211,170
Toronto,109,195,195,110
Utah,100,2,2,-130
Miami,94,214,216.5,190
Denver,95,5,5.5,-240
Boston,101,205,207,210
OklahomaCity,94,5.5,6.5,-260
Brooklyn,112,224,228,135
LALakers,124,2,3,-155
Memphis,113,199,199.5,180
LAClippers,104,5.5,5,-220
Sacramento,99,197,195.5,325
Detroit,108,8.5,9,-425
NewOrleans,96,7,5.5,-220
Chicago,90,203,199.5,180
Dallas,99,215,214,600
Minnesota,112,12.5,12,-900
GoldenState,127,7.5,9,-430
Denver,108,229,232.5,330
Atlanta,117,218,220.5,650
Cleveland,115,13.5,11.5,-1000
Miami,104,209.5,205.5,190
LAClippers,101,5.5,5.5,-240
Washington,107,218,213.5,220
Toronto,96,5,6.5,-270
Boston,104,3,3,-155
Orlando,88,205,209.5,135
Utah,110,200,205,200
Houston,137,6.5,6,-250
Phoenix,95,214,211.5,425
SanAntonio,112,10,9.5,-600
Indiana,101,216.5,216,-110
NewYork,108,2,pk,-110
Charlotte,94,216.5,218,160
Minnesota,112,5,4.5,-190
OklahomaCity,99,3,3,-155
Portland,103,206.5,211.5,135
Memphis,102,1.5,2.5,-140
LALakers,107,205.5,206.5,120
Boston,110,8.5,7.5,-350
Atlanta,107,206,204,275
Brooklyn,98,236,233.5,-110
Phoenix,92,1,pk,-110
Miami,80,226,223,950
GoldenState,97,15.5,14.5,-1800
Milwaukee,119,217.5,221.5,180
Cleveland,124,4,5,-220
Dallas,113,213.5,213.5,425
Washington,99,11,10,-600
NewOrleans,117,218,1.5,-120
Indiana,112,pk,218.5,100
Chicago,114,198.5,201,575
Toronto,119,11.5,11.5,-850
Charlotte,113,2,2,-135
NewYork,118,209.5,209,115
LAClippers,107,201,204,155
SanAntonio,120,3,4,-185
Philadelphia,104,201.5,203.5,215
Utah,97,6,6.5,-265
Brooklyn,104,233,230,650
Denver,112,10.5,12.5,-1000
Memphis,98,204,200,120
Portland,97,2.5,2.5,-140
OklahomaCity,86,11.5,11,-700
Sacramento,94,203.5,202.5,500
NewYork,99,213.5,215,300
Orlando,112,5.5,8.5,-400
Indiana,97,210.5,210.5,225
Detroit,114,5.5,6.5,-275
LALakers,96,208,214.5,240
Boston,107,9.5,6.5,-300
Miami,126,5,6,-240
Phoenix,115,215.5,216.5,190
Minnesota,101,230.5,227.5,300
GoldenState,125,11.5,8.5,-400
LALakers,95,220,224,400
Washington,111,9,9.5,-550
NewOrleans,118,217.5,215,180
Toronto,122,4.5,5,-220
Cleveland,113,227.5,228.5,185
Houston,117,5,5.5,-230
Philadelphia,108,7,6.5,-250
Sacramento,109,204.5,208,200
OklahomaCity,94,1,2,-135
Denver,102,213.5,215.5,115
Atlanta,104,208,209,260
Detroit,111,9,7.5,-330
Charlotte,87,205.5,205,125
Boston,90,3,2.5,-145
Indiana,105,4,3,-155
Chicago,87,206.5,202,135
Milwaukee,94,206.5,204.5,170
SanAntonio,87,4.5,4.5,-200
Orlando,128,3.5,3.5,-170
Phoenix,112,226,227,145
Miami,84,196.5,194,125
Utah,74,3,2.5,-145
LAClippers,111,209.5,210,190
OklahomaCity,120,7,5.5,-240
Brooklyn,101,224,218,330
Portland,97,8.5,8.5,-430
Atlanta,94,222,216.5,400
Washington,113,11,10,-550
LAClippers,103,213.5,218,200
NewOrleans,111,5.5,5.5,-250
Memphis,96,208,210,230
Houston,111,5,6.5,-280
Sacramento,91,202,202,215
NewYork,118,4.5,6.5,-265
Cleveland,111,5.5,6,-250
Dallas,104,217.5,214.5,200
LALakers,90,214,217,210
Milwaukee,98,5,6.5,-260
Philadelphia,114,230,230.5,800
GoldenState,135,14.5,13.5,-1400
Chicago,94,192.5,189.5,450
SanAntonio,133,11,10.5,-650
Orlando,107,222,216.5,310
Denver,125,8,9,-410
Brooklyn,106,210,208.5,240
Utah,114,9,7,-300
Minnesota,110,10+104,10,-550
Phoenix,118,227,231.5,400
Toronto,94,2,3.5,-160
Boston,95,199.5,201.5,140
Miami,103,202.5,201,115
Detroit,112,3,2.5,-135
Houston,118,2.5,3.5,-180
Indiana,95,220.5,226.5,150
Dallas,99,209,203,450
OklahomaCity,112,12,10.5,-650
Sacramento,92,207,208,534
Washington,110,11.5,11,-750
Cleveland,104,3.5,5,-225
NewYork,101,220.5,221,188
Memphis,103,200.5,199.5,151
Milwaukee,110,3,4,-175
Atlanta,105,217,217,384
NewOrleans,106,9.5,9.5,-500
Minnesota,109,3.5,3,-145
Utah,98,206.5,210,125
LALakers,100,1,230.5,-105
Phoenix,93,227.5,1,-115
Denver,82,211.5,212,110
Portland,99,2,2,-130
Philadelphia,109,218.5,224,110
LAClippers,105,2,2,-130
Orlando,100,233,223.5,711
GoldenState,110,14.5,12.5,-1100
Boston,109,8,6.5,-280
