Germany,Argentina,1:0 ET,1,0,Draw,Tm1,136,229,235,,,,,,,,,,
Brazil,Netherlands,0:03,0,3,Win,Tm2,116,271,236,,,,,,,,,,
Netherlands,Argentina,0:1 PEN,0,1,Draw,Tm2,206,223,154,,,,,,,,,,
Brazil,Germany,1:07,1,7,Win,Tm2,165,221,193,,18,48,,,,,,,
Netherlands,CostaRica,1:0 PEN,1,0,Draw,Tm1,-189,316,615,,0.375,,,,,,,,
Argentina,Belgium,1:00,1,0,Win,Tm1,-101,240,324,,,,,,,,,,
Brazil,Colombia,2:01,2,1,Win,Tm1,-130,280,391,,,,,,,,,,
France,Germany,0:01,0,1,Win,Tm2,184,215,177,,,,,,,,,,
Belgium,USA,2:1 ET,2,1,Draw,Tm1,102,241,308,,,,,,,,,,
Argentina,Switzerland,1:0 ET,1,0,Draw,Tm1,-175,316,546,,,,,,,,,,
Germany,Algeria,2:1 ET,2,1,Draw,Tm1,-312,466,941,,,,,,,,,,
France,Nigeria,2:00,2,0,Win,Tm1,-244,366,781,,,,,,,,,,
CostaRica,Greece,2:1 PEN,2,1,Draw,Tm1,171,208,195,,,,,,,,,,
Netherlands,Mexico,2:01,2,1,Win,Tm1,112,238,274,,,,,,,,,,
Colombia,Uruguay,2:00,2,0,Win,Tm1,112,237,273,,,,,,,,,,
Brazil,Chile,2:1 PEN,2,1,Draw,Tm1,-189,351,531,,,,,,,,,,
Netherlands,Spain,0:1 ET,0,1,Draw,Tm2,290,238,102,,,,,,,,,,
Uruguay,Germany,2:03,2,3,Win,Tm2,286,268,-108,,,,,,,,,,
Germany,Spain,0:01,0,1,Win,Tm2,181,238,152,,,,,,,,,,
Uruguay,Netherlands,2:03,2,3,Win,Tm2,468,254,-145,,,,,,,,,,
Paraguay,Spain,0:01,0,1,Win,Tm2,800,326,-238,,,,,,,,,,
Argentina,Germany,0:04,0,4,Win,Tm2,131,229,219,,,,,,,,,,
Uruguay,Ghana,2:1 PEN,2,1,Draw,Tm1,-116,237,351,,,,,,,,,,
Netherlands,Brazil,2:01,2,1,Win,Tm1,309,227,100,,,,,,,,,,
Spain,Portugal,1:00,1,0,Win,Tm1,100,223,319,,,,,,,,,,
Paraguay,Japan,1:0 PEN,1,0,Draw,Tm1,120,217,260,,,,,,,,,,
Brazil,Chile,3:00,3,0,Win,Tm1,-189,282,599,,,,,,,,,,
Netherlands,Slovakia,2:01,2,1,Win,Tm1,-256,350,863,,,,,,,,,,
Argentina,Mexico,3:01,3,1,Win,Tm1,-164,273,524,,,,,,,,,,
Germany,England,4:01,4,1,Win,Tm1,197,206,160,,,,,,,,,,
USA,Ghana,1:2 ET,1,2,Draw,Tm2,141,210,222,,,,,,,,,,
Uruguay,SouthKorea,2:01,2,1,Win,Tm1,-119,234,390,,,,,,,,,,
Italy,France,2:1 PEN,2,1,Draw,Tm1,154,181,224,,,,,,,,,,
Germany,Portugal,3:01,3,1,Win,Tm1,-114,241,330,,,,,,,,,,
Portugal,France,0:01,0,1,Win,Tm2,292,186,120,,,,,,,,,,
Germany,Italy,0:2 ET,0,2,Draw,Tm2,146,189,227,,,,,,,,,,
Brazil,France,0:01,0,1,Win,Tm2,-133,241,399,,,,,,,,,,
England,Portugal,0:1 PEN,0,1,Draw,Tm2,110,199,300,,,,,,,,,,
Italy,Ukraine,3:00,3,0,Win,Tm1,-175,248,594,,,,,,,,,,
Germany,Argentina,2:1 PEN,2,1,Draw,Tm1,150,206,199,,,,,,,,,,
Spain,France,1:03,1,3,Win,Tm2,137,200,221,,,,,,,,,,
Brazil,Ghana,3:00,3,0,Win,Tm1,-370,441,934,,,,,,,,,,
Switzerland,Ukraine,0:1 PEN,0,1,Draw,Tm2,137,211,217,,,,,,,,,,
Italy,Australia,1:00,1,0,Win,Tm1,-192,282,595,,,,,,,,,,
Portugal,Netherlands,1:00,1,0,Win,Tm1,212,206,144,,,,,,,,,,
England,Ecuador,1:00,1,0,Win,Tm1,-204,286,637,,,,,,,,,,
Argentina,Mexico,2:1 PEN,2,1,Draw,Tm1,-278,326,918,,,,,,,,,,
Germany,Sweden,2:00,2,0,Win,Tm1,-164,266,488,,,,,,,,,,
